msoa11cd,ladnm,Wealth_Decile,Wealth_Decile_2019,IMD_2010,IMD_2019,IMD_Rank_2010,IMD_Rank_2019,IMD_Pctile_2010,IMD_Pctile_2019,IMD_Pctile_Change,IMD_Score_Change,Inflow_Wealthier_11,Outflow_Poorer_11,Total_Inflow_11,Total_Outflow_11,Total_Migration_11,CFI_Churn_11,CFI_Rate_11,Net_Cascade_11,Pct_Inflow_Wealthier_11,Inflow_Wealthier_21,Outflow_Poorer_21,Total_Inflow_21,Total_Outflow_21,Total_Migration_21,CFI_Churn_21,CFI_Rate_21,Net_Cascade_21,Pct_Inflow_Wealthier_21,Net_Cascade_21_alt,Inflow_Wealthier_21_alt,Outflow_Poorer_21_alt
E02000916,Waltham Forest,2,4,36.86224799624491,27.134618754563473,5628.239073745697,9883.554500886617,0.1732725532216519,0.30092420231660627,0.12765164909495438,-9.727629241681438,443.0,224.0,950,1011,1961,667.0,50.60275369709332,219.0,46.63157894736842,534.0,234.0,1112.0,1016.0,2128.0,768.0,58.71992481203007,300.0,48.02158273381295,-196.0,280.0,476.0
E02000917,Waltham Forest,3,6,32.97604248844686,19.808602471368296,7344.376732971669,15459.695298372513,0.22610605051941596,0.4707007459010021,0.24459469538158612,-13.167440017078562,243.0,429.0,1074,1093,2167,672.0,48.10659898477157,-186.0,22.62569832402235,209.0,441.0,1085.0,1137.0,2222.0,650.0,41.48019801980198,-232.0,19.262672811059907,-713.0,92.0,805.0
E02000918,Waltham Forest,2,4,37.52492421839081,26.857884743991644,5812.201880877743,10599.159247648902,0.17893608401199876,0.3227121924141062,0.14377610840210744,-10.667039474399164,541.0,185.0,921,1117,2038,726.0,49.10942100098136,356.0,58.74049945711184,498.0,159.0,916.0,912.0,1828.0,657.0,43.316192560175054,339.0,54.366812227074234,-33.0,316.0,349.0
E02000919,Waltham Forest,3,5,33.256376326204915,21.244702415150545,7038.106713480158,13509.777316735823,0.21667713544363518,0.4113316683941001,0.19465453295046495,-12.01167391105437,198.0,473.0,1087,1116,2203,671.0,42.51202905129369,-275.0,18.215271389144434,234.0,440.0,1065.0,1195.0,2260.0,674.0,45.557522123893804,-206.0,21.971830985915496,-471.0,205.0,676.0
E02000920,Waltham Forest,2,3,38.1566846847203,27.823772880015813,5357.190749159913,9564.396619885352,0.1649279831648271,0.2912068146354084,0.12627883147058128,-10.332911804704484,542.0,208.0,1038,1188,2226,750.0,50.64510332434861,334.0,52.215799614643544,491.0,183.0,960.0,1075.0,2035.0,674.0,44.15380835380835,308.0,51.145833333333336,238.0,513.0,275.0
E02000921,Waltham Forest,2,2,42.648443139195756,30.606850022094566,4277.607865665046,8558.272912063632,0.13169164046749113,0.260573404946524,0.12888176447903285,-12.04159311710119,518.0,229.0,1005,1211,2216,747.0,53.5297833935018,289.0,51.542288557213936,504.0,190.0,1043.0,1092.0,2135.0,694.0,44.85245901639344,314.0,48.322147651006716,547.0,672.0,125.0
E02000922,Waltham Forest,3,4,34.80671483727811,23.84354484097633,6413.118528106509,11780.362333579882,0.19743607315148418,0.35867623716903796,0.16124016401755378,-10.963169996301776,605.0,532.0,1462,1234,2696,1137.0,119.38427299703264,73.0,41.381668946648425,228.0,424.0,1014.0,1026.0,2040.0,652.0,47.38823529411765,-196.0,22.485207100591715,-186.0,280.0,466.0
E02000923,Wandsworth,7,8,17.84502895463259,12.64306568690096,15916.49980830671,21663.009712460065,0.4900098457085989,0.6595728203769353,0.16956297466833642,-5.20196326773163,283.0,632.0,989,911,1900,915.0,94.13473684210527,-349.0,28.61476238624874,257.0,616.0,998.0,1006.0,2004.0,873.0,78.99800399201597,-359.0,25.751503006012022,-432.0,186.0,618.0
E02000924,Wandsworth,3,4,33.43825485995913,26.941605625717564,7316.993268421686,10107.563965884861,0.2252630154676955,0.3077446098491311,0.0824815943814356,-6.496649234241566,919.0,191.0,1281,1277,2558,1110.0,68.61962470680218,728.0,71.7408274785324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E02000925,Wandsworth,2,4,36.525755968639345,26.59996294891249,6265.434623166414,10793.142893272636,0.19288943486135132,0.3286184049833344,0.13572897012198307,-9.925793019726854,665.0,15.0,732,743,1475,680.0,6.762711864406779,650.0,90.84699453551912,723.0,37.0,886.0,846.0,1732.0,760.0,15.44515011547344,686.0,81.60270880361173,433.0,597.0,164.0
E02000926,Wandsworth,6,7,23.84493385173101,15.821903371011304,11532.759289468915,18516.351505451636,0.3550507754900841,0.5637666394303871,0.20871586394030295,-8.023030480719706,438.0,467.0,1216,1142,2358,905.0,86.74554707379134,-29.0,36.01973684210527,588.0,583.0,1814.0,1616.0,3430.0,1171.0,99.94285714285714,5.0,32.414553472987876,-50.0,608.0,658.0
E02000927,Wandsworth,5,5,28.17686554125138,22.187760243632336,9167.08527131783,12907.77727021041,0.28222046891564034,0.3930025962188043,0.11078212730316395,-5.989105297619044,461.0,328.0,848,1001,1849,789.0,81.7782585181179,133.0,54.363207547169814,483.0,290.0,921.0,938.0,1859.0,773.0,75.34696073157612,193.0,52.44299674267101,262.0,530.0,268.0
E02000928,Wandsworth,9,9,11.83679189107413,9.812317584080064,22272.002792971023,24976.874199930175,0.6856721505132388,0.7604699244894099,0.07479777397617104,-2.0244743069940654,53.0,617.0,854,888,1742,670.0,18.772101033295062,-564.0,6.206088992974239,58.0,634.0,1109.0,1051.0,2160.0,692.0,17.024074074074075,-576.0,5.229936880072137,-390.0,115.0,505.0
E02000929,Wandsworth,2,2,39.77600350733216,33.281182833310915,4875.2379927351,6905.567603928427,0.1500904498717782,0.21025355023530712,0.060163100363528926,-6.494820674021248,651.0,29.0,706,793,1499,680.0,12.594396264176117,622.0,92.20963172804532,740.0,26.0,890.0,915.0,1805.0,766.0,10.659279778393351,714.0,83.14606741573034,708.0,742.0,34.0
E02000930,Wandsworth,6,8,22.032011194986335,14.546327584582038,13527.376778814438,19912.59212138347,0.41645763126699215,0.6062779235593555,0.18982029229236336,-7.485683610404298,624.0,705.0,1523,1709,3232,1329.0,136.1138613861386,-81.0,40.97176625082074,638.0,766.0,1849.0,1991.0,3840.0,1404.0,127.26770833333333,-128.0,34.505137912385074,-651.0,440.0,1091.0
E02000931,Wandsworth,9,10,12.67746124981452,7.6063888712241665,21082.73640699523,27451.639215686275,0.6490590606180417,0.8358189993815088,0.18675993876346708,-5.071072378590354,40.0,1060.0,1073,1231,2304,1100.0,18.40277777777778,-1020.0,3.727865796831314,42.0,1098.0,1338.0,1383.0,2721.0,1140.0,16.948180815876515,-1056.0,3.1390134529147984,-1101.0,0.0,1101.0
