msoa11cd,ladnm,Wealth_Decile,IMD_Pctile_Change,Typology_11,Cascade_Dominance_11,Cross_Decile_Share_11,Sign_Concordance_11,Typology_21,Cascade_Dominance_21,Cross_Decile_Share_21,Sign_Concordance_21
E02000150,Bromley,9,-0.0213849287169042,Counter-led,0.4781553398058252,0.9125138427464008,concordant,Counter-led,0.4670731707317073,0.9100998890122086,concordant
E02000151,Bromley,10,0.0040733197556007,Lateral,0.4691075514874142,0.6398243045387995,concordant,Lateral,0.4162790697674418,0.6574923547400612,concordant
E02000152,Bromley,6,-0.1374745417515275,Counter-led,0.4630969609261939,0.8881748071979434,concordant,Counter-led,0.4603174603174603,0.9567757009345794,concordant
E02000153,Bromley,10,-0.0101832993890019,Lateral,0.3744292237442922,0.6169014084507042,concordant,Lateral,0.3846153846153846,0.5909090909090909,concordant
E02000154,Bromley,9,-0.0580448065173115,Symmetric,0.4907908992416034,0.9156746031746033,concordant,Symmetric,0.4847826086956521,0.92,concordant
E02000155,Bromley,8,-0.0743380855397148,Counter-led,0.4476190476190476,0.930576070901034,concordant,Counter-led,0.4304347826086956,0.9261744966442952,divergent
E02000156,Bromley,10,0.005091649694501,Lateral,0.4761904761904761,0.6633416458852868,concordant,Lateral,0.4436274509803921,0.6727122835943941,concordant
E02000157,Bromley,10,-0.0010183299389001,Lateral,0.4590570719602977,0.62,concordant,Lateral,0.4015748031496063,0.6837146702557201,concordant
E02000158,Bromley,6,0.0142566191446028,Symmetric,0.5044843049327354,0.9359916054564532,divergent,Symmetric,0.500823723228995,0.933846153846154,concordant
E02000159,Bromley,10,-0.0132382892057025,Lateral,0.5066666666666667,0.6774193548387096,concordant,Lateral,0.4692874692874693,0.6176024279210925,concordant
E02000160,Bromley,10,-0.0224032586558045,Lateral,0.4392712550607287,0.5951807228915663,concordant,Lateral,0.3265306122448979,0.6282051282051282,concordant
E02000161,Bromley,10,-0.0040733197556008,Lateral,0.4750430292598967,0.7217391304347827,concordant,Lateral,0.3884892086330935,0.6731234866828087,concordant
E02000162,Bromley,9,-0.0743380855397148,Cascade-led,0.5255102040816326,0.8936170212765957,divergent,Counter-led,0.4666666666666667,0.8928571428571429,divergent
E02000163,Bromley,10,-0.0234215885947046,Lateral,0.3696098562628336,0.7312312312312312,concordant,Lateral,0.4092920353982301,0.6807228915662651,concordant
E02000165,Bromley,10,-0.0193482688391039,Lateral,0.4216589861751152,0.7614035087719299,concordant,Lateral,0.4146919431279621,0.7631103074141049,concordant
E02000166,Camden,6,-0.0346232179226069,Symmetric,0.4970313825275657,0.8805078416728902,concordant,Counter-led,0.4689589302769819,0.8857868020304569,concordant
E02000167,Camden,9,0.0773930753564153,Symmetric,0.5019186492709132,0.7988963825873697,concordant,Lateral,0.4790468364831553,0.7861757105943152,concordant
E02000168,Camden,6,0.1517311608961303,Symmetric,0.4882596685082873,0.8759830611010284,concordant,Symmetric,0.5124671916010499,0.8886297376093294,concordant
E02000169,Camden,9,0.120162932790224,Cascade-led,0.5857826384142174,0.8078409718387631,concordant,Counter-led,0.4669421487603306,0.8055925432756325,concordant
E02000170,Camden,8,0.0386965376782076,Symmetric,0.5158045977011494,0.9117903930131004,concordant,Symmetric,0.4938616071428571,0.8797250859106529,concordant
E02000171,Camden,7,0.075356415478615,Symmetric,0.5036351619299405,0.9164142943670502,concordant,Symmetric,0.5042553191489362,0.913804277381724,concordant
E02000172,Camden,2,0.0366598778004073,Counter-led,0.4663355408388521,0.8757854035766071,concordant,Counter-led,0.4666279744631457,0.8969286829776159,concordant
E02000173,Camden,8,0.180244399185336,Symmetric,0.5044692737430168,0.8972431077694235,concordant,Symmetric,0.4817974971558589,0.8638820638820639,concordant
